0,turn,mfd_netbuyamt,mfd_netbuyvol,mfd_netbuyamt_a,mfd_netbuyvol_a,mfd_buyvol_open_m,mfd_buyvol_close_m,mkt_cap_ard,pe_ttm,ps_ttm,pb_lf,pcf_ocf_ttm,dividendyield2,mkt_freeshares,netprofit_ttm,operatecashflow_ttm,cashflow_ttm,tech_upnum,tech_downnum,west_netprofit_YOY,west_netprofit_CAGR,west_avgroe_YOY,west_sales_YOY,west_avgebit_YOY,west_avgebt_YOY,west_avgoperatingprofit_YOY,west_avgoc_YOY,yoy_or,yoynetprofit,yoyocf,yoyfcf,yoyroe,invturndays,arturndays,netturndays,current,quick,debttoassets,ocftosales,roe_avg,roa,netprofitmargin,expensetosales,operateexpensetogr,val_pb_wgt,val_pe_avg,tech_uppct,tech_downpct
2014-09-26,1.8807,,,,,,,861000000000.0,51.84999847,6.4823,5.320000172,37.847,0.4542,361000000000.0,15997722270,22394233630,1288349088.0,27,24,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.2871,104.3294,44.2623,39.3443
2014-09-29,2.0712,,,,,,,868000000000.0,52.33000183,6.5361,5.369999886,38.161,0.4505,364000000000.0,15997722270,22394233630,1288349088.0,39,12,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.3309,105.7401,63.9344,19.6721
2014-09-30,2.0881,,,,,,,875000000000.0,52.66999817,6.5894,5.400000095,38.472,0.4468,366000000000.0,17618875319,24278174432,4268091274.0,38,13,,,,,,,,,17.0519,29.2358,-20.8764,8.315874062,-0.2329,97.3405,64.4257,64.4257,1.796583,1.541066,37.4785,9.87,8.6032,5.2844,13.3056,19.7045,9.7284,5.3744,108.0119,62.2951,21.3115
2014-10-08,1.8432,,,,,,,877000000000.0,52.77000046,6.6039,5.409999847,38.557,0.4459,366000000000.0,17618875319,24278174432,4268091274.0,27,23,,,,,,,,,,,-20.8764,,,97.3405,64.4257,64.4257,1.796583,1.541066,37.4785,9.87,11.4126,5.2844,13.3056,19.7045,9.7284,5.3862,108.7404,44.2623,37.7049
2014-10-09,2.1933,,,,,,,883000000000.0,53.25,6.6458,5.460000038,38.8016,0.4431,370000000000.0,17618875319,24278174432,4268091274.0,28,23,,,,,,,,,,,-20.8764,,,97.3405,64.4257,64.4257,1.796583,1.541066,37.4785,9.87,11.4126,5.2844,13.3056,19.7045,9.7284,5.4204,108.9941,45.9016,37.7049
2014-10-10,2.0863,,,,,,,876000000000.0,53.0,6.5941,5.429999828,38.4996,0.4465,367000000000.0,17618875319,24278174432,4268091274.0,11,41,,,,,,,,,,,-20.8764,,,97.3405,64.4257,64.4257,1.796583,1.541066,37.4785,9.87,11.4126,5.2844,13.3056,19.7045,9.7284,5.3782,107.0133,18.0328,67.2131
2014-10-13,1.8403,,,,,,,873000000000.0,52.77999878,6.5698,5.409999847,38.3577,0.4482,366000000000.0,17618875319,24278174432,4268091274.0,22,30,,,,,,,,,,,-20.8764,,,97.3405,64.4257,64.4257,1.796583,1.541066,37.4785,9.87,11.4126,5.2844,13.3056,19.7045,9.7284,5.3584,107.0108,36.0656,49.1803
2014-10-14,1.7084,,,,,,,869000000000.0,52.61999893,6.5367,5.420000076,38.222,0.4502,364000000000.0,17618875319,24278174432,4268091274.0,13,39,,,,,,,,,,,-20.8764,,,97.3405,64.4257,64.4257,1.796583,1.541066,37.4785,9.87,11.4126,5.2844,13.3056,19.7045,9.7284,5.3875,105.7144,21.3115,63.9344
2014-10-15,1.8221,,,,,,,877000000000.0,53.06000137,6.6015,5.460000038,38.6014,0.4457,368000000000.0,17618875319,24278174432,4268091274.0,37,15,,,,,,,,,,,-20.8764,,,97.3405,64.4257,64.4257,1.796583,1.541066,37.4785,9.87,11.4126,5.2844,13.3056,19.7045,9.7284,5.441,106.5832,60.6557,24.5902
2014-10-16,2.1744,,,,,,,872000000000.0,52.61000061,6.5567,5.420000076,38.3393,0.4488,364000000000.0,17618875319,24278174432,4268091274.0,15,37,,,,,,,,,,,-20.8764,,,97.3405,64.4257,64.4257,1.796583,1.541066,37.4785,9.87,11.4126,5.2844,13.3056,19.7045,9.7284,5.4054,106.8275,24.5902,60.6557
